,median_2010,median_2011,median_2012,pct_change_2010_2011,pct_change_2011_2012,abs_anomaly_2011
m6_precip_sum,24.462106704711914,248.7860336303711,199.67234802246094,917.0261974306968,-19.741335512780367,917.0261974306968
m6_heat_days,10.0,0.0,0.0,-100.0,,100.0
m6_max_consec_heat,6.0,0.0,0.0,-100.0,,100.0
summer_total_precip,371.45703125,583.3399658203125,506.02276611328125,57.04103482906208,-13.2542263923757,57.04103482906208
m5_gdd,156.87353515625,70.98423767089844,37.2281494140625,-54.750661033936446,-47.55434356192994,54.750661033936446
hot_dry_days,19.0,9.0,8.0,-52.63157894736842,-11.11111111111111,52.63157894736842
heat_days,19.0,9.0,9.0,-52.63157894736842,0.0,52.63157894736842
m6_dry_days,27.0,13.0,13.0,-51.85185185185185,0.0,51.85185185185185
summer_max_consecutive_heat_days,8.0,4.0,4.0,-50.0,0.0,50.0
m8_max_consec_heat,2.0,3.0,2.0,50.0,-33.33333333333333,50.0
m8_heat_days,4.0,6.0,2.0,50.0,-66.66666666666666,50.0
max_consecutive_heat_days,8.0,4.0,4.0,-50.0,0.0,50.0
spring_gdd,181.44216918945312,93.430419921875,45.42803955078125,-48.50677748218526,-51.37767807447784,48.50677748218526
summer_heat_days,17.0,9.0,8.0,-47.05882352941176,-11.11111111111111,47.05882352941176
m5_precip_sum,172.41842651367188,250.07217407226562,223.28665161132812,45.03796324370018,-10.711116724724857,45.03796324370018
max_consecutive_hot_dry_days,7.0,4.0,4.0,-42.857142857142854,0.0,42.857142857142854
summer_hot_dry_days,15.0,9.0,7.0,-40.0,-22.22222222222222,40.0
spring_max_consecutive_dry_days,9.0,5.5,6.0,-38.88888888888889,9.090909090909092,38.88888888888889
m8_precip_sum,132.89431762695312,84.42671585083008,206.66009521484375,-36.47078569015733,144.7804502783012,36.47078569015733
m7_heat_days,3.0,2.0,5.0,-33.33333333333333,150.0,33.33333333333333
summer_max_consecutive_dry_days,15.0,10.0,12.0,-33.33333333333333,20.0,33.33333333333333
spring_total_precip,736.0962524414062,968.4297485351562,759.414306640625,31.562923370845976,-21.582922479476423,31.562923370845976
m6_gdd,338.947021484375,236.74046325683594,200.4962158203125,-30.15413965874034,-15.309696930516958,30.15413965874034
max_consecutive_frost_days,4.0,3.0,8.0,-25.0,166.66666666666669,25.0
m4_gdd,24.12664794921875,18.758056640625,7.606658935546875,-22.251708235198876,-59.44857678341337,22.251708235198876
m7_precip_sum,167.79074096679688,203.59873962402344,129.24415588378906,21.340866874360128,-36.52015915105448,21.340866874360128
max_1day_precip,84.51844024658203,101.4510269165039,91.02059936523438,20.03419208934897,-10.281243934429533,20.03419208934897
summer_gdd,1008.080078125,818.4775695800781,789.443359375,-18.808278494856985,-3.547343419560563,18.808278494856985
gdd,1440.292724609375,1184.091796875,1051.897705078125,-17.788115107216125,-11.164175965559046,17.788115107216125
m8_dry_days,19.0,22.0,18.0,15.789473684210526,-18.181818181818183,15.789473684210526
m7_dry_days,18.0,15.5,20.0,-13.88888888888889,29.03225806451613,13.88888888888889
m4_precip_sum,302.9358215332031,344.35362243652344,225.13912963867188,13.67213711924152,-34.61978763409902,13.67213711924152
m7_gdd,315.1624450683594,273.5984344482422,327.5642395019531,-13.188122909473515,19.724456816626954,13.188122909473515
m5_dry_days,16.0,14.0,11.0,-12.5,-21.428571428571427,12.5
winter_frost_days,9.0,10.0,14.0,11.11111111111111,40.0,11.11111111111111
m8_gdd,345.487060546875,308.36244201660156,278.62542724609375,-10.745588697738347,-9.64352681086461,10.745588697738347
total_precip,2702.77734375,2970.7978515625,3096.11376953125,9.916484923639022,4.218257997690409,9.916484923639022
p95_precip,33.473342132568376,35.90039443969728,35.31213569641113,7.250702058721132,-1.638585738310644,7.250702058721132
max_consecutive_wet_days,17.0,16.0,17.0,-5.88235294117647,6.25,5.88235294117647
max_consecutive_dry_days,18.0,19.0,13.0,5.555555555555555,-31.57894736842105,5.555555555555555
max_3day_precip_sum,150.18043327331543,157.36192786693573,153.3355941772461,4.781910956769315,-2.558645375197919,4.781910956769315
rain_days,195.0,204.0,215.0,4.615384615384616,5.392156862745098,4.615384615384616
max_5day_precip_sum,187.3465690612793,190.69492530822754,208.65145874023438,1.7872525041294065,9.416366693021851,1.7872525041294065
tmax_p95,303.26427001953124,300.9128753662109,301.3778533935547,-0.7753615858435531,0.15452247657328824,0.7753615858435531
precip_cv,1.6704628467559814,1.6818882822990417,1.5736479759216309,0.6839682525863032,-6.4356418625767935,0.6839682525863032
max_7day_precip_sum,224.44969198480248,225.0912011116743,241.36222434043884,0.285814215737601,7.22863583667671,0.285814215737601
tmean_mean,284.8387451171875,284.41632080078125,283.6341247558594,-0.14830296918786715,-0.2750179886722332,0.14830296918786715
tmax_max,306.9534606933594,307.0027770996094,306.1282958984375,0.016066411546102798,-0.28484472011409295,0.016066411546102798
frost_days,10.0,10.0,17.0,0.0,70.0,0.0
m4_dry_days,9.0,9.0,10.0,0.0,11.11111111111111,0.0
m7_max_consec_heat,2.0,2.0,4.0,0.0,100.0,0.0
spring_heat_days,0.0,0.0,0.0,,,
spring_frost_days,0.0,0.0,0.0,,,
m4_heat_days,0.0,0.0,0.0,,,
m4_max_consec_heat,0.0,0.0,0.0,,,
m5_heat_days,0.0,0.0,0.0,,,
m5_max_consec_heat,0.0,0.0,0.0,,,
